ticker,threshold,direction,horizon,n_events,mean_fwd_ret_pct,median_fwd_ret_pct,ci_low_pct,ci_high_pct,t_stat,p_value
HYG,2.5,discount,3,6,-0.47000570769187844,-0.1535804449628253,-1.151730380088313,0.1162679529471559,-1.316626969951148,0.24508151643966816
HYG,2.5,discount,5,6,-0.28521899474961787,-0.30209526255433605,-0.7473944313654255,0.1881091842132544,-1.0323147891785274,0.3492481961089082
HYG,2.5,discount,10,5,-0.12451151262895976,0.1560098146628386,-0.6203058656279545,0.38057585606743327,-0.42659882442016245,0.6916288346527595
HYG,2.5,discount,20,5,-0.293296274550352,0.5304346644690039,-2.9676955677359818,1.616383503909531,-0.22660457823530555,0.8318405264354419
JNK,2.5,discount,1,7,-0.1081833497837224,-0.08606324773191565,-0.3039233904958131,0.05657837003758706,-1.047840298039989,0.335075499216459
JNK,2.5,discount,3,7,0.07640765030493427,0.18867956215591342,-0.17111483176132639,0.33172793480021456,0.5600882998798841,0.5956955699488895
JNK,2.5,discount,5,7,-0.027321501245484,-0.03169443086449286,-0.5739073977756349,0.43249834567172335,-0.10198449972263773,0.9220918895038014
JNK,2.5,discount,10,7,-0.2484575116782493,-0.14370703375057303,-0.778770338926945,0.34964848149270483,-0.8093449504540068,0.4492131485444512
JNK,2.5,discount,20,7,-1.0778108222279268,-1.6697396286190047,-1.9039957282276938,-0.2561310630329295,-2.2721278299970122,0.06348198587733493
LQD,2.5,discount,1,9,-0.039570798048301395,-0.2003776707085847,-0.2552693169988712,0.20507726982597319,-0.30985854348066916,0.7645862829027901
LQD,2.5,discount,3,9,-0.018253452823176662,-0.009788741632987819,-0.5246600782493438,0.4872565332915026,-0.06580070851966636,0.9491511378973478
LQD,2.5,discount,5,9,0.4776237298851016,0.5830857768371223,-0.20836155750347343,1.0903748351048554,1.3224905143259844,0.2225601814268485
LQD,2.5,discount,10,9,0.2496165203688758,0.8716438170997654,-0.7317764983261623,1.1652868094260533,0.4538984597503144,0.6619623773362124
LQD,2.5,discount,20,9,0.23546108085962125,-0.23854896039258167,-1.4854573607609545,2.2915197886809877,0.22529004108223993,0.8274021087406158
TLT,2.5,discount,1,6,0.3409542098492554,0.0834752681583284,-0.43887663619381867,1.1609694514646183,0.7719478918231378,0.4750298901094058
TLT,2.5,discount,3,6,1.1345645451552033,1.6103678663519139,-0.7992012392655642,3.076411956641544,1.0929775110782893,0.3242440703298911
TLT,2.5,discount,5,6,1.2273579239597432,2.6763026113728494,-1.0537575811789621,3.266708187362951,1.0090149622699593,0.35927449266021233
TLT,2.5,discount,10,6,2.0725661464217655,2.5000001902421354,-0.5554197375799281,4.922471776979705,1.3110759267436403,0.24681268189504504
TLT,2.5,discount,20,6,2.7879588234809405,2.5693972537936927,-0.46976503585690993,5.77945901925819,1.6445774385516856,0.16097704515753442
ALL,2.5,discount,1,34,-0.017293457188295645,-0.09760819040037227,-0.17878243731588817,0.1894627645237293,-0.18613447067657876,0.8534788036831236
ALL,2.5,discount,3,34,0.09634535256840451,0.1705179586370953,-0.2869404683184346,0.5292198387030232,0.4381055341139931,0.6641642940976592
ALL,2.5,discount,5,34,0.27902707759694845,0.010019362101898466,-0.21499930847899804,0.7725646042874347,1.1148220519810232,0.2729800568593498
ALL,2.5,discount,10,33,0.34422814807385954,0.1560098146628386,-0.29055899677663366,1.04214155133218,0.9775317252097967,0.335638652106166
ALL,2.5,discount,20,33,0.20565006634607877,-0.040223623706570066,-0.7847453381115933,1.2221536983437478,0.39724126934186715,0.693826855010246
AGG,2.5,premium,1,6,0.015608494298398798,0.006267061759346326,-0.17138411988147179,0.21138963660055263,0.14578657359389652,0.8897849806498229
AGG,2.5,premium,3,6,0.2510665907337376,0.12863421022218935,-0.0470716077671995,0.6521892337228812,1.2362289491035408,0.2712768933072814
AGG,2.5,premium,5,6,-0.20670402718655315,-0.08131969293675434,-0.8168635676293575,0.21411708077579106,-0.6940296528765121,0.5185809404665432
AGG,2.5,premium,10,6,-0.4576952961264887,-0.8000811796239848,-1.2067664337443937,0.45096624767780685,-1.0177780077347824,0.3554758204670975
AGG,2.5,premium,20,6,-0.9730254545985159,-0.9497785229713118,-2.0865048961735533,0.2073401210195291,-1.4883937749094465,0.196814934261744
HYG,2.5,premium,1,4,-0.1362487225354786,-0.13417667385238752,-0.30594372896310673,0.031374235209058465,-1.3725631659997217,0.26350104185426204
HYG,2.5,premium,3,4,-0.5041732792186532,-0.4903771922799227,-0.6679899700751002,-0.32852640177431225,-5.179143321218204,0.013972608049979521
HYG,2.5,premium,5,4,-0.6635689704424796,-0.6430977376375935,-1.1587854319143749,-0.18882374177547068,-2.4039422438660303,0.095535333975424
HYG,2.5,premium,10,4,-1.1185082154292232,-0.7988213144752732,-2.381086918405531,-0.04379375678614794,-1.5427757289731732,0.2205634663130236
HYG,2.5,premium,20,4,-0.9175060432844356,-0.7162614798869926,-2.5931683068057874,0.5569116568394733,-0.9608156140834032,0.4075242871277977
JNK,2.5,premium,1,3,0.2658336824297244,0.4302161800479487,-0.08788640365904321,0.45517127090026754,1.5018283779185468,0.27197616693564663
JNK,2.5,premium,3,3,0.5240521548958637,0.5610233645056084,-0.24134664172955622,1.2524797419115385,1.214133235045379,0.34860567565028044
JNK,2.5,premium,5,3,0.09225866038305255,-0.032958449135667145,-0.31479857518458276,0.6245330054694076,0.33151309454910644,0.7717716158620945
JNK,2.5,premium,10,3,-0.07107785918356221,-0.3357814108887358,-0.6245410814664787,0.7470889148045279,-0.17025053033271553,0.8804776759401637
JNK,2.5,premium,20,3,0.489613013245153,0.07409727312344128,-0.2526870314453977,1.6474287980574154,0.8347428011133853,0.4916899792624264
LQD,2.5,premium,1,4,0.45207201438973443,0.5200181620215294,-0.017333421422779938,0.8540542013173379,1.834304881178462,0.16396495604087521
LQD,2.5,premium,3,4,-0.5684926104944393,-0.30534589638077647,-1.1364126325606376,-0.2637193025419038,-2.0134074617361177,0.13752949637523743
LQD,2.5,premium,5,4,-0.5769560748097313,-0.5214050507524604,-0.7745725161931131,-0.3808841191824397,-4.651500671784806,0.018739984796557415
LQD,2.5,premium,10,4,0.06501841043018708,-0.0754877951357702,-0.8877906467014307,1.0178274675618049,0.1096787167344409,0.9195893590024014
LQD,2.5,premium,20,4,0.6932016844330063,0.3695837562512294,-1.3607146177765983,3.070735914824388,0.5227905203934415,0.6372737566462187
TLT,2.5,premium,1,8,-0.6600859650241333,-0.6538015150307608,-1.490287621864451,0.1541865921229414,-1.4623744387750326,0.18703458819473473
TLT,2.5,premium,3,8,-0.19835162053300492,0.25882336287652574,-1.1218149721379747,0.6104163311655834,-0.4104732770800704,0.6937318038429406
TLT,2.5,premium,5,8,-0.10886044480089008,0.4436604591987692,-1.6102469236727042,1.043812401714979,-0.1426100979096106,0.8906161924905044
TLT,2.5,premium,10,8,-0.5877581691597646,-1.215044697891643,-2.5973749650826052,1.5529466286362192,-0.505520334194401,0.6287188621372621
TLT,2.5,premium,20,8,0.3489253864217265,0.00827280897310323,-1.910634839657081,2.8687563965153093,0.2639940186353875,0.7993877726015612
ALL,2.5,premium,1,25,-0.1250497015878591,-0.039691323687107705,-0.4547849477002464,0.16753427551979536,-0.7431552561172188,0.46460075634122844
ALL,2.5,premium,3,25,-0.1119568205610557,-0.24134664172955622,-0.4708195990561949,0.2086049010076511,-0.6129827064662773,0.5456533185568453
ALL,2.5,premium,5,25,-0.27185727685544503,-0.14859347338361806,-0.7412402565366676,0.15446889679197873,-1.0735288283065134,0.293709634842564
ALL,2.5,premium,10,25,-0.4750171971033552,-0.6245410814664787,-1.2701092623019816,0.2955787125956455,-1.1828993370209187,0.24843512627663525
ALL,2.5,premium,20,25,-0.09900512127550165,-0.2526870314453977,-1.029598591399639,0.9087436023936583,-0.19343920361231165,0.8482428075403804
